Business Type,Name,Rating,Review Count,Price Level,Category,Address,City,State,Phone,Yelp URL
restaurants,Punjabi Kitchen,5.00,5,0,Indian,"1055 W 15th St, Merced, CA 95340",Merced,California,2097931876,https://www.yelp.com/biz/punjabi-kitchen-merced?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Hye Kebobs & Catering,5.00,8,0,Food Delivery Services,"3083 W Bullard Ave, Fresno, CA 93711",Fresno,California,5594317798,https://www.yelp.com/biz/hye-kebobs-and-catering-fresno-2?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Rack Rubbers BBQ,5.00,5,0,Caterers,"Visalia, CA 93291",Visalia,California,5599092129,https://www.yelp.com/biz/rack-rubbers-bbq-visalia?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Tacos El Primo,5.00,6,0,Food Trucks,"7011 Ave 408, Dinuba, CA 93618",Dinuba,California,5595515273,https://www.yelp.com/biz/tacos-el-primo-dinuba?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Avalos Kitchen,5.00,17,0,Mexican,"3206 N Palm Ave, Fresno, CA 93704",Fresno,California,5593076678,https://www.yelp.com/biz/avalos-kitchen-fresno?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Embers BBQ and Grill,5.00,6,0,Salad,"120 Commerce Dr, Mammoth Lakes, CA 93546",Mammoth Lakes,California,7609372349,https://www.yelp.com/biz/embers-bbq-and-grill-mammoth-lakes?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Tacos El Wacho,5.00,9,0,Tacos,"2614 South Elm Ave, Fresno, CA 93706",Fresno,California,5595199455,https://www.yelp.com/biz/tacos-el-wacho-no-title?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Don Juanito’s,5.00,6,0,Food Trucks,"1550 N Ben Maddox Way, Visalia, CA 93292",Visalia,California,5593296875,https://www.yelp.com/biz/don-juanito-s-visalia?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Nor-BQ,5.00,11,0,Caterers,"Fresno, CA 93722",Fresno,California,5592495183,https://www.yelp.com/biz/nor-bq-fresno-3?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Sammy’s Tacos,5.00,5,0,Food Trucks,"4605 E Shields Ave, Fresno, CA 93726",Fresno,California,5594004686,https://www.yelp.com/biz/sammy-s-tacos-fresno?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,El Jabalito,5.00,5,0,Food Trucks,"Fresno, CA 93701",Fresno,California,Not Provided,https://www.yelp.com/biz/el-jabalito-fresno?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Off The Hook Deli,5.00,14,0,Pizza,"10316 Twin Lakes Rd, Bridgeport, CA 93517",Bridgeport,California,7609327751,https://www.yelp.com/biz/off-the-hook-deli-bridgeport-2?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Tacos el Gera,5.00,17,0,Tacos,"5170 W Shaw Ave, Fresno, CA 93722",Fresno,California,Not Provided,https://www.yelp.com/biz/tacos-el-gera-fresno-2?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Broadway Market,5.00,7,0,Grocery,"9345 E Broadway St, Planada, CA 95365",Planada,California,2093820181,https://www.yelp.com/biz/broadway-market-planada?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Washington Street Sandwich Company,5.00,11,0,Sandwiches,"79 N Washington St, Sonora, CA 95370",Sonora,California,Not Provided,https://www.yelp.com/biz/washington-street-sandwich-company-no-title?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Outlaws BBQ Catering,5.00,34,0,Caterers,"Fresno, CA 93704",Fresno,California,5599067985,https://www.yelp.com/biz/outlaws-bbq-catering-fresno-2?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Tacos Las Becerritas,5.00,9,2,Food Trucks,"4807 E Jensen Ave, Fresno, CA 93725",Fresno,California,5594783277,https://www.yelp.com/biz/tacos-las-becerritas-fresno?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,The Rolling Chef,5.00,20,0,Latin American,"107 S Main St, Bishop, CA 93514",Bishop,California,3105700041,https://www.yelp.com/biz/the-rolling-chef-bishop-2?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,La Primavera Tacos,5.00,10,0,Mexican,"224 S C St, Madera, CA 93638",Madera,California,5593639836,https://www.yelp.com/biz/la-primavera-tacos-madera?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Pho Reel,5.00,6,0,Beverage Store,"14861 W Whitesbridge Ave, Kerman, CA 93630",Kerman,California,Not Provided,https://www.yelp.com/biz/pho-reel-kerman?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Yukon’s Tavern & Grill,5.00,6,0,Sports Bars,"2731 W Clinton Ave, Fresno, CA 93705",Fresno,California,5592791919,https://www.yelp.com/biz/yukon-s-tavern-and-grill-fresno-2?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Rojas Bro’s Tacos,5.00,18,0,Tacos,"2614 E Ashlan Ave, Fresno, CA 93726",Fresno,California,5597226211,https://www.yelp.com/biz/rojas-bro-s-tacos-fresno?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Mono Inn,5.00,50,0,New American,"55620 Hwy 395, Lee Vining, CA 93541",Lee Vining,California,7607843266,https://www.yelp.com/biz/mono-inn-lee-vining-3?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Goodness Cafe,5.00,39,0,Coffee & Tea,"230 N Washington St, Sonora, CA 95370",Sonora,California,2094323854,https://www.yelp.com/biz/goodness-cafe-sonora?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Patiala Shahi Indian Restaurant & Grocery,5.00,23,0,Indian,"200 W Olive Ave, Ste A, Madera, CA 93637",Madera,California,5599403341,https://www.yelp.com/biz/patiala-shahi-indian-restaurant-and-grocery-madera?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Teppan Tora,5.00,22,0,Teppanyaki,"9447 N Fort Washington Rd, Ste 116, Fresno, CA 93730",Fresno,California,5594336607,https://www.yelp.com/biz/teppan-tora-fresno?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Araz Bakery,5.00,40,0,Armenian,"2767 W Shaw Ave, Unit 117, Fresno, CA 93711",Fresno,California,5593751202,https://www.yelp.com/biz/araz-bakery-fresno?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,The Independent WIne,4.90,19,0,Wine Bars,"13 S Washington St, Sonora, CA 95370",Sonora,California,2095886248,https://www.yelp.com/biz/the-independent-wine-sonora?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Sabaya Hut Bakery,4.90,51,0,Bakeries,"2420 E Ashlan Ave, Fresno, CA 93726",Fresno,California,5598544444,https://www.yelp.com/biz/sabaya-hut-bakery-fresno?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Rappit Up!,4.90,30,0,Vegan,"3083 W Bullard Ave, Fresno, CA 93711",Fresno,California,5596295189,https://www.yelp.com/biz/rappit-up-no-title?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Winebar bistro,4.90,15,0,Wine Bars,"7089 N Marks Ave, Ste 102, Fresno, CA 93711",Fresno,California,5599443333,https://www.yelp.com/biz/winebar-bistro-no-title?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Matsumoto Samurai's Kitchen,4.90,55,0,Food Trucks,"49777 Road 427, Oakhurst, CA 93644",Oakhurst,California,5592739035,https://www.yelp.com/biz/matsumoto-samurais-kitchen-oakhurst?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Indiego Tasting House,4.90,285,2,American,"2270 N Sierra Hwy, Bishop, CA 93514",Bishop,California,7602581186,https://www.yelp.com/biz/indiego-tasting-house-bishop-3?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Orange Cove Pizza,4.90,11,0,Pizza,"510 Park Blvd, Orange Cove, CA 93646",Orange Cove,California,5596267800,https://www.yelp.com/biz/orange-cove-pizza-orange-cove?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Don’t Bite The Bone BBQ,4.90,11,0,Barbeque,"36218 Hwy 99, Ste D, Traver, CA 93673",Traver,California,5598698722,https://www.yelp.com/biz/don-t-bite-the-bone-bbq-traver?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Helena’s Vietnamese Kitchen,4.90,33,0,Vietnamese,"2400 N Sierra Hwy, Bishop, CA 93514",Bishop,California,6264788099,https://www.yelp.com/biz/helena-s-vietnamese-kitchen-bishop?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,La Empanada Buen Provecho,4.90,133,1,Food Trucks,"4210 N Fresno St, Fresno, CA 93726",Fresno,California,5592925989,https://www.yelp.com/biz/la-empanada-buen-provecho-fresno?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Murphys Grade,4.90,91,2,Seafood,"397 Main St, Murphys, CA 95247",Murphys,California,2092234367,https://www.yelp.com/biz/murphys-grade-murphys?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Smokin Oak BBQ,4.90,10,0,Barbeque,"5040 Hwy 140, Mariposa, CA 95338",Mariposa,California,2099662244,https://www.yelp.com/biz/smokin-oak-bbq-mariposa?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Maiden Voyage,4.90,30,0,Coffee Roasteries,"2000 High St, Selma, CA 93662",Selma,California,Not Provided,https://www.yelp.com/biz/maiden-voyage-selma?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Cafe Daldal,4.90,26,0,Desserts,"3377 W Shaw Ave, Fresno, CA 93711",Fresno,California,5593949966,https://www.yelp.com/biz/cafe-daldal-fresno-2?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Fusion Indian Cuisine & Bar,4.90,25,0,Indian,"2674 Owens Mountain Pkwy, Clovis, CA 93611",Clovis,California,5598821313,https://www.yelp.com/biz/fusion-indian-cuisine-and-bar-clovis?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Don Louie Mexican Restaurant,4.90,8,0,Mexican,"302 N Fresno St, Fresno, CA 93701",Fresno,California,5594493331,https://www.yelp.com/biz/don-louie-mexican-restaurant-fresno-2?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Birrieria Rancho Viejo,4.90,8,0,Food Trucks,"21144 S Fowler Ave, Laton , CA 93242",Laton ,California,5596971011,https://www.yelp.com/biz/birrieria-rancho-viejo-laton-2?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,La Finca Branding Iron,4.90,8,0,Breakfast & Brunch,"640 W 16th St, Merced, CA 95340",Merced,California,2093254420,https://www.yelp.com/biz/la-finca-branding-iron-merced?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Owens Valley Distilling Company,4.90,71,1,Distilleries,"237 E South St, Unit E, Bishop, CA 93514",Bishop,California,4422285041,https://www.yelp.com/biz/owens-valley-distilling-company-bishop?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Kevin and Randi's Old Fashioned Meat Market,4.90,142,2,American,"18687 Main St, Ste B1, Groveland, CA 95321",Groveland,California,2099625500,https://www.yelp.com/biz/kevin-and-randis-old-fashioned-meat-market-groveland?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Barb's Soulfood,4.90,23,0,Food Trucks,"Fresno, CA 93721",Fresno,California,Not Provided,https://www.yelp.com/biz/barbs-soulfood-fresno?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Focaccia,4.90,15,0,Sandwiches,"6701 North Milburn Ave, Fresno, CA 93722",Fresno,California,5595383895,https://www.yelp.com/biz/focaccia-fresno?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Two Acre Farms,4.90,15,0,Bakeries,"13757 Mono Way, Sonora, CA 95370",Sonora,California,4084068798,https://www.yelp.com/biz/two-acre-farms-sonora?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Lucy’s Gorditas,4.90,37,0,Mexican,"2403 E Clinton Ave, Fresno, CA 93703",Fresno,California,5592124771,https://www.yelp.com/biz/lucy-s-gorditas-fresno?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Banh Mi Amour,4.90,29,0,Vietnamese,"4303 W Noble Ave, Visalia, CA 93277",Visalia,California,5599318996,https://www.yelp.com/biz/banh-mi-amour-visalia-3?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Salty Bitch Bakery,4.90,7,0,Bakeries,"1154 Broadway Plz, Fresno, Fresno, CA 93705",Fresno,California,5595708180,https://www.yelp.com/biz/salty-bitch-bakery-fresno-2?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,The Lemon Food Truck,4.90,14,0,Food Trucks,"414 S Edwards St, Independence, CA 93526",Independence,California,2097376680,https://www.yelp.com/biz/the-lemon-food-truck-independence-2?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,El Patio,4.90,7,0,Shaved Ice,"205 S J St, Dinuba, CA 93618",Dinuba,California,5595954303,https://www.yelp.com/biz/el-patio-dinuba?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Sanjha Chulha,4.90,7,0,Food Trucks,"9460 N Sommerville Dr, Fresno, CA 93720",Fresno,California,5595474503,https://www.yelp.com/biz/sanjha-chulha-fresno?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Colorado Grill Food Truck,4.90,14,0,Food Trucks,"46 E Herndon Ave, Fresno, CA 93720",Fresno,California,5595750656,https://www.yelp.com/biz/colorado-grill-food-truck-fresno?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Mom's Drive-In,4.90,14,1,Mexican,"5923 S Juanche Trio Rd, Tranquillity, CA 93668",Tranquillity,California,5596987286,https://www.yelp.com/biz/moms-drive-in-tranquillity?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Chavez Tacos,4.90,7,0,Food Trucks,"843 SCoffee Rd, Merced, CA 95341",Merced,California,2096008622,https://www.yelp.com/biz/chavez-tacos-merced?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Sierra Subs And Salads,4.90,669,2,Sandwiches,"41651 Sierra Dr, Three Rivers, CA 93271",Three Rivers,California,5595614810,https://www.yelp.com/biz/sierra-subs-and-salads-three-rivers?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Tony’s Taverna On Wheels,4.90,76,0,Greek,"42264 Sierra Dr, Three Rivers, CA 93271",Three Rivers,California,5597697606,https://www.yelp.com/biz/tony-s-taverna-on-wheels-three-rivers?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Robles Taqueria,4.90,55,0,Mexican,"635 W Shaw Ave, Ste 103, Clovis, CA 93612",Clovis,California,5597018757,https://www.yelp.com/biz/robles-taqueria-clovis?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Brochettes Grill,4.90,40,0,Mediterranean,"2136 E El Monte Way, Dinuba, CA 93618",Dinuba,California,5597251007,https://www.yelp.com/biz/brochettes-grill-dinuba?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Tandoori Pizza,4.80,99,2,Indian,"270 Shaw Ave, Ste 113, Clovis, CA 93612",Clovis,California,5595092000,https://www.yelp.com/biz/tandoori-pizza-clovis?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,India Express - Sweet & Spice,4.80,71,1,Indian,"208 N 8th St, Fowler, CA 93625",Fowler,California,5598341300,https://www.yelp.com/biz/india-express-sweet-and-spice-fowler-2?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Taqueria Mi Guadalajara,4.80,211,2,Food Trucks,"2392 North Sierra Hwy, Bishop, CA 93514",Bishop,California,7609371618,https://www.yelp.com/biz/taqueria-mi-guadalajara-bishop?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
restaurants,Hot Rod Willy's Pizza,4.80,140,0,Pizza,"337 E Shaw Ave, Ste 101, Fresno, CA 93710",Fresno,California,5594923959,https://www.yelp.com/biz/hot-rod-willys-pizza-fresno?adjust_creative=vnotTLeq2GfzY8S-e_vIQA&utm_campaign=yelp_api_v3&utm_medium=api_v3_business_search&utm_source=vnotTLeq2GfzY8S-e_vIQA
